Fecha,Usuario,Jornada,Horario,Almuerzo,Descanso
02/01/2026,yamilgonzalez,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,conavarro,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,Gcoronado,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,dmolino,Vacaciones,06:00:00,11:00:00,07:45:00
02/01/2026,yetienne,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,Nlondono,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,rossantamaria,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,tpolo,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,novilla,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,lmartinez,Centro De Contacto,06:00:00,11:00:00,07:45:00
02/01/2026,Zestrada,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,aigraell,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,gman,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,genemoreno,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,lilmoreno,Vacaciones,06:00:00,11:35:00,08:05:00
02/01/2026,Yavallejos,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,gaflores,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,ivnunez,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,Melmartinez,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,glchanis,Centro De Contacto,06:00:00,11:35:00,08:05:00
02/01/2026,irisgomez,Licencia,06:00:00,11:35:00,08:05:00
02/01/2026,Yulrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,lijuarez,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,sarrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,gisssanchez,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,Rubmorales,Vacaciones,06:00:00,11:45:00,08:25:00
02/01/2026,ensandoval,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,Ztrejos,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,girgonzalez,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,arenteria,Licencia,06:00:00,11:45:00,08:25:00
02/01/2026,julcorrea,Centro De Contacto,06:00:00,11:45:00,08:25:00
02/01/2026,celirodriguez,Vacaciones,07:00:00,12:20:00,09:35:00
02/01/2026,mlorenzo,Vacaciones,07:00:00,12:20:00,09:35:00
02/01/2026,luiquijada,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,kdurango,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,jbrugiatti,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,Eshernandez,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,mnoval,Centro De Contacto,07:00:00,12:20:00,09:35:00
